# t Temp Pres Epot Etot
11.050205 1.986984 18.436539 -627.561829 -305.670349
11.100206 1.965086 19.660385 -603.234131 -284.890198
11.150208 2.071193 18.450010 -628.930664 -293.397461
11.200209 1.954273 16.113695 -674.646118 -358.053833
11.250210 2.011926 18.303305 -632.183167 -306.251221
11.300211 1.952489 17.365675 -644.861633 -328.558472
11.350212 2.015008 16.683132 -663.707947 -337.276703
11.400213 1.964604 17.196718 -652.268188 -334.002350
11.450214 2.022572 19.008926 -615.692261 -288.035553
11.500216 1.983938 18.687946 -622.747009 -301.349091
11.550217 2.034840 16.894608 -660.803345 -331.159210
11.600218 2.013829 17.540302 -644.544373 -318.304138
11.650219 2.018656 16.725433 -663.353333 -336.330994
11.700220 1.992015 18.937035 -616.274170 -293.567810
11.750221 2.001752 19.254646 -611.934448 -287.650665
11.800222 2.023075 18.028027 -637.256897 -309.518707
11.850224 2.067775 18.839592 -620.097473 -285.117981
11.900225 1.966935 17.394733 -647.902649 -329.259155
11.950226 1.991850 18.147778 -633.060242 -310.380524
12.000227 2.035446 18.092026 -635.307617 -305.565338
12.050228 1.967826 18.904301 -618.041870 -299.254089
12.100229 2.040724 18.261196 -632.326721 -301.729523
12.150230 2.026848 15.883716 -679.134949 -350.785645
12.200232 1.981918 16.177540 -671.040771 -349.970032
12.250233 2.018157 17.658905 -643.121948 -316.180420
12.300234 1.966135 17.403965 -649.566284 -331.052460
12.350235 2.050311 18.194162 -634.608459 -302.458038
12.400236 1.994344 19.734348 -597.670288 -274.586517
12.450237 1.979053 19.106411 -612.665100 -292.058441
12.500238 2.028193 18.484707 -626.038818 -297.471619
12.550240 2.030082 16.683144 -660.971619 -332.098267
12.600241 2.004436 17.242632 -648.839539 -324.120880
12.650242 1.955073 20.076294 -596.152893 -279.431030
12.700243 2.011318 19.874613 -599.868958 -274.035370
12.750244 1.984502 18.451708 -627.527283 -306.037903
12.800245 2.019526 17.418777 -649.220337 -322.057129
12.850246 2.010379 15.512563 -686.947327 -361.265961
12.900248 2.018133 18.167978 -634.985413 -308.047821
12.950249 2.011678 19.821014 -599.211975 -273.320099
13.000250 1.972102 16.079067 -674.408569 -354.927979
13.050251 2.041014 17.429653 -649.295532 -318.651184
13.100252 2.002358 18.510035 -626.434631 -302.052551
13.150253 1.967698 17.373526 -647.188721 -328.421600
13.200254 2.012475 17.132893 -655.941345 -329.920380
13.250256 1.968412 18.856735 -619.217346 -300.334625
13.300257 1.955302 20.037420 -597.053162 -280.294159
13.350258 2.021260 17.365555 -651.178589 -323.734436
13.400259 2.000155 19.763359 -599.733459 -275.708374
13.450260 1.985666 19.847828 -599.515198 -277.837250
13.500261 2.018717 17.461115 -649.463684 -322.431519
13.550262 2.046457 15.326949 -691.629822 -360.103821
13.600264 1.981618 16.280928 -668.743713 -347.721649
13.650265 1.955064 17.109270 -655.122131 -338.401825
13.700266 1.983042 20.538162 -585.218445 -263.965607
13.750267 1.988838 17.450054 -646.120300 -323.928467
13.800268 2.000019 18.026451 -634.560120 -310.557007
13.850269 2.007101 17.276489 -646.751404 -321.600983
13.900270 2.001881 18.450212 -625.157349 -300.852661
13.950272 2.018125 20.321629 -589.642639 -262.706421
14.000273 2.023994 17.379248 -649.513245 -321.626251
14.050274 2.034720 17.167250 -651.493286 -321.868683
14.100275 1.934347 17.786383 -638.123596 -324.759460
14.150276 1.990142 17.848579 -639.350403 -316.947327
14.200277 1.990476 19.111532 -613.127808 -290.670685
14.250278 2.031090 18.264683 -628.723267 -299.686615
14.300280 1.957225 17.596535 -645.987671 -328.917206
14.350281 2.034058 18.700583 -623.983337 -294.466003
14.400282 2.033595 16.490664 -669.450684 -340.008270
14.450283 1.958928 15.411910 -685.639343 -368.292938
14.500284 1.966676 17.976593 -637.189880 -318.588318
14.550285 1.979890 19.169346 -612.265442 -291.523193
14.600286 2.031415 18.080708 -635.484680 -306.395416
14.650288 2.035257 16.216730 -675.178650 -345.467041
14.700289 2.015517 15.596072 -686.107483 -359.593658
14.750290 1.989683 18.143040 -636.041443 -313.712799
14.800291 1.980413 18.048277 -635.385803 -314.558838
14.850292 2.036327 16.429691 -670.315308 -340.430389
14.900293 1.980997 17.066734 -655.777954 -334.856476
14.950294 1.987192 17.792410 -638.893982 -316.968842
15.000296 1.999204 14.691129 -550.527893 -226.656921
15.050297 2.008911 13.835141 -573.694397 -248.250793
15.100298 2.023031 14.975198 -546.739014 -219.007904
15.150299 2.018200 13.957617 -568.297913 -241.349579
15.200300 1.974604 13.476789 -582.150696 -262.264832
15.250301 2.051365 13.613226 -581.297485 -248.976379
15.300303 1.951548 14.258118 -560.421265 -244.270447
15.350304 1.982213 13.653787 -579.133850 -258.015320
15.400305 1.928777 16.262510 -525.489075 -213.027252
15.450306 2.024338 14.693380 -561.696289 -233.753448
15.500307 2.006746 14.241983 -564.614258 -239.521484
15.550308 2.019568 13.715800 -574.970337 -247.800293
15.600309 2.006128 14.270661 -565.783691 -240.791016
15.650311 1.971868 16.988489 -511.616669 -192.174103
15.700312 2.052053 14.056789 -572.780945 -240.348358
15.750313 1.965407 15.098790 -547.683167 -229.287231
15.800314 1.999390 14.523385 -562.062988 -238.161865
15.850315 1.979104 15.374787 -541.673950 -221.059082
15.900316 1.993819 15.717124 -537.550537 -214.551788
15.950317 2.070225 16.232910 -526.782715 -191.406311
16.000319 1.988016 15.738299 -537.205139 -215.146484
16.050310 2.020177 15.225965 -544.024292 -216.755676
16.100302 2.003381 15.325820 -543.612122 -219.064331
16.150293 1.964940 14.726092 -558.412354 -240.092072
16.200285 2.051226 14.474275 -559.207764 -226.909119
16.250277 1.987733 13.891282 -571.162354 -249.149658
16.300268 2.009737 14.027987 -567.966919 -242.389496
16.350260 1.951056 12.658745 -598.730530 -282.659515
16.400251 1.998637 17.190495 -499.137482 -175.358276
16.450243 1.991913 15.639451 -538.293091 -215.603210
16.500235 1.980077 13.776696 -581.581238 -260.808746
16.550226 2.032517 14.968390 -551.016907 -221.749176
16.600218 1.987724 14.407053 -559.476929 -237.465698
16.650209 1.975045 13.950356 -571.084534 -251.127197
16.700201 2.011612 13.662514 -576.809448 -250.928223
16.750193 1.998576 14.370316 -562.956177 -239.186920
16.800184 2.035120 14.892480 -551.894836 -222.205383
16.850176 1.979404 13.836440 -576.344177 -255.680695
16.900167 1.980781 15.779849 -533.424622 -212.538116
16.950159 1.905864 15.719314 -529.220764 -220.470795
17.000151 2.037365 15.775271 -530.855408 -200.802277
17.050142 1.991375 15.131089 -545.192261 -222.589508
17.100134 1.936251 15.014131 -545.443848 -231.771210
17.150126 2.016427 16.300850 -521.068970 -194.407745
17.200117 2.013949 16.182720 -520.883728 -194.624054
17.250109 2.039368 14.899320 -550.128296 -219.750671
17.300100 1.991444 14.915709 -548.304871 -225.690948
17.350092 2.002971 13.927314 -574.386780 -249.905518
17.400084 2.007964 14.366804 -565.906982 -240.616760
17.450075 1.984635 13.998572 -572.858887 -251.348083
17.500067 2.014250 15.641786 -531.931519 -205.623047
17.550058 1.966633 14.986913 -544.227295 -225.632721
17.600050 2.011851 13.456181 -580.351868 -254.432007
17.650042 1.982647 15.751439 -529.869690 -208.680817
17.700033 1.984906 15.903461 -525.609741 -204.054901
17.750025 1.981924 13.951198 -572.151672 -251.079956
17.800016 1.995172 16.329592 -521.684631 -198.466797
17.850008 1.989372 16.082293 -527.521851 -205.243652
17.900000 2.014815 14.126904 -567.637817 -241.237793
17.949991 2.016919 14.616578 -554.917297 -228.176483
17.999983 1.994164 14.616064 -559.643555 -236.589020
18.049974 1.991951 15.558198 -535.880066 -213.183960
18.099966 1.988732 15.560954 -532.060364 -209.885834
18.149958 1.976063 15.058541 -544.581116 -224.458832
18.199949 2.025437 13.615386 -583.775574 -255.654785
18.249941 2.027707 14.496677 -561.454468 -232.965881
18.299932 1.984554 13.559692 -578.797607 -257.299866
18.349924 2.013898 14.245584 -562.513123 -236.261688
18.399916 2.018605 14.327236 -561.296631 -234.282684
18.449907 2.020453 14.180973 -562.099060 -234.785706
18.499899 1.982353 14.059039 -570.070801 -248.929626
18.549891 1.983988 16.352837 -523.682556 -202.276489
18.599882 1.948343 16.086941 -522.271118 -206.639557
18.649874 2.021201 14.898768 -550.174744 -222.740204
18.699865 2.013813 14.115550 -569.717102 -243.479309
18.749857 2.010582 15.083398 -547.416931 -221.702576
18.799849 1.922158 16.015366 -524.690918 -213.301331
18.849840 2.042547 14.380347 -563.089661 -232.196960
18.899832 2.000314 13.886069 -566.751770 -242.700897
18.949823 1.999737 14.055261 -564.518555 -240.561127
18.999815 2.010603 14.552606 -557.660095 -231.942444
19.049807 1.989305 14.823644 -553.381958 -231.114594
19.099798 1.961352 16.001614 -528.339233 -210.600189
19.149790 2.023282 16.323246 -524.449341 -196.677704
19.199781 2.035160 13.883154 -574.837280 -245.141296
19.249773 1.980171 13.032960 -588.538330 -267.750610
19.299765 1.987969 14.805195 -555.174988 -233.124084
19.349756 1.971852 16.240917 -523.094543 -203.654510
19.399748 1.987247 14.673074 -557.386841 -235.452789
